"Designator","Footprint","Mid X","Mid Y","Layer","Rotation"
"D1","D_DO-41","10.00","12.00","top","0"
"D2","D_DO-41","10.00","17.00","top","0"
"D3","D_DO-41","10.00","22.00","top","0"
"D4","D_DO-41","10.00","27.00","top","0"
"D5","D_DO-41","10.00","32.00","top","0"
"D6","D_DO-41","10.00","37.00","top","0"
"D7","D_DO-41","10.00","42.00","top","0"
"D8","D_DO-41","10.00","47.00","top","0"
"D9","D_DO-41","10.00","52.00","top","0"
"D10","D_DO-41","10.00","57.00","top","0"
"D11","D_DO-41","10.00","62.00","top","0"
"D12","D_DO-41","10.00","67.00","top","0"
"C1","C_Disc_D12","25.00","12.00","top","0"
"C2","C_Disc_D12","25.00","22.00","top","0"
"C3","C_Disc_D12","25.00","32.00","top","0"
"C4","C_Disc_D12","25.00","42.00","top","0"
"C5","C_Disc_D12","25.00","52.00","top","0"
"C6","C_Disc_D12","25.00","62.00","top","0"
"C_STORE1","CP_Radial_D18","50.00","15.00","top","0"
"C_STORE2","CP_Radial_D18","50.00","35.00","top","0"
"C_STORE3","CP_Radial_D18","50.00","55.00","top","0"
"C_STORE4","CP_Radial_D18","50.00","75.00","top","0"
"U1","Module_XL6009","70.00","40.00","top","0"
"J_HV_IN","TerminalBlock_2P","5.00","5.00","top","0"
"J_20V_OUT","TerminalBlock_2P","75.00","5.00","top","0"
